Player,Price,Apps,Mins,S,OT,IN,BC,XG,G,KP,BCC,XA,A,XPTS,BPS,B,DC,PTS
FWDHaalandMCI,£14.7m,18,1576,60,26,58,19,12.68,12,13,4,1.53,4,107.16,436,24,0,118
MIDB.FernandesMUN,£10.4m,18,1539,32,8,16,9,5.35,4,55,16,5.32,12,94.01,464,20,2,111
MIDRiceARS,£7.2m,18,1612,16,6,4,2,1.33,3,28,8,3.31,4,87.48,429,16,20,107
DEFGuéhiMCI,£5.1m,18,1620,19,6,18,6,2.5,3,8,1,0.97,3,74.04,367,10,16,104
DEFGabrielARS,£7.3m,16,1395,11,4,10,3,1.23,2,4,3,0.87,3,79.37,345,16,14,103
MIDGibbs-WhiteNFO,£7.6m,19,1568,31,17,20,6,4.65,8,24,3,1.46,3,78.01,401,8,2,101
DEFVirgilLIV,£6.1m,19,1710,15,11,15,8,2.39,5,3,0,0.58,1,83.19,309,7,14,99
FWDJoão PedroCHE,£7.4m,18,1390,35,16,31,14,7.96,7,18,6,1.28,7,80.53,390,15,0,94
MIDAndersonNFO,£5.7m,19,1665,13,4,6,1,0.64,2,24,4,2.01,4,75.88,397,7,26,92
MIDSzoboszlaiLIV,£7.1m,18,1620,32,8,7,2,2.18,3,38,10,3.34,6,75.47,402,13,8,90
DEFTarkowskiEVE,£5.8m,18,1620,10,2,10,5,1.49,1,5,1,1.26,2,72.86,261,6,26,90
MIDRogersAVL,£7.3m,18,1589,38,14,19,3,2.49,6,22,5,2.08,3,63.74,299,10,2,87
FWDWatkinsAVL,£8.7m,19,1467,41,18,36,18,7.68,9,10,2,0.6,1,76.74,326,14,0,86
MIDDewsbury-HallEVE,£5.3m,16,1328,15,9,12,3,2.01,5,18,5,2.33,4,57.57,304,12,4,83
DEFSenesiBOU,£5.2m,19,1710,9,4,5,0,0.47,0,10,1,1.42,3,60.87,250,6,30,83
MIDGarnerEVE,£5.2m,19,1703,16,3,2,1,0.64,1,27,4,2.42,3,74.92,379,4,28,82
FWDBowenWHU,£7.8m,19,1697,35,12,24,2,2.65,4,21,6,1.96,4,69.97,333,11,8,82
DEFVan de VenTOT,£4.4m,17,1519,7,5,6,3,1.37,4,1,0,0.14,0,53.74,277,8,6,81
DEFLacroixCRY,£5.2m,18,1555,10,4,9,1,0.88,1,3,2,0.39,2,71.72,247,7,22,79
MIDSemenyoMCI,£8.0m,19,1618,42,21,28,8,6.07,7,18,3,1.46,2,77.23,268,5,0,79
DEFTruffertBOU,£4.8m,19,1668,11,4,5,2,1.18,1,15,4,1.41,3,58.11,261,9,14,78
DEFVan HeckeBHA,£4.7m,19,1680,10,2,7,1,1.37,1,4,0,0.66,1,67.61,271,5,18,77
DEFMuñozCRY,£5.9m,15,1220,14,5,12,3,1.47,4,14,2,1.31,1,56.7,256,7,6,77
DEFThiawNEW,£4.9m,17,1523,14,6,14,4,1.45,3,4,0,0.44,0,68.89,254,7,16,76
FWDThiagoBRE,£7.2m,19,1624,34,20,33,17,7.63,9,14,1,0.57,0,78.95,299,7,2,76
GKRayaARS,£6.2m,18,1620,0,0,0,0,0,0,1,0,0.05,0,70.78,293,7,0,75
MIDGakpoLIV,£7.3m,18,1384,46,11,29,8,4.86,4,25,9,2.8,4,78.32,256,5,0,75
MIDEnzoCHE,£6.5m,18,1523,29,15,19,11,6.03,5,29,6,2.97,2,83.01,310,9,4,74
DEFChalobahCHE,£5.4m,17,1443,6,3,3,2,0.61,2,5,1,0.65,0,65.05,288,3,18,74
MIDScottBOU,£4.9m,18,1388,18,5,9,3,2.18,2,13,2,1.21,1,69.41,294,7,16,74
MIDCherkiMCI,£6.5m,16,931,30,10,20,1,2.08,3,27,6,4.14,6,59.95,313,8,0,74
MIDSakaARS,£10.0m,15,1094,33,15,28,8,3.9,3,30,5,2.96,4,70.65,255,9,6,73
DEFN.WilliamsNFO,£4.8m,18,1539,18,9,8,1,0.62,1,11,2,1.05,3,52.87,274,9,6,73
