Player,Price,Apps,Mins,S,OT,IN,BC,XG,G,KP,BCC,XA,A,XPTS,BPS,B,DC,PTS
MIDB.FernandesMUN,£10.4m,17,1526,53,16,23,7,5.49,5,81,17,7,12,105.39,544,21,8,124
MIDSemenyoMCI,£8.0m,18,1582,41,20,33,9,5.03,10,21,5,1.66,4,83.42,410,13,6,123
FWDHaalandMCI,£14.7m,17,1377,66,33,56,32,12.75,15,12,5,1.32,4,103.05,516,19,0,121
MIDCasemiroMUN,£5.8m,19,1464,35,14,22,8,3.76,7,20,2,1.6,4,81.93,406,13,14,107
MIDBruno G.NEW,£6.9m,15,1243,22,12,10,7,3.9,8,23,4,2.53,6,70.09,413,17,4,106
DEFGabrielARS,£7.3m,16,1355,16,3,12,4,1.7,1,3,2,0.95,2,89.84,379,14,8,106
FWDThiagoBRE,£7.2m,19,1658,50,23,47,24,12.94,13,10,5,1.32,1,108.02,411,15,0,105
FWDBowenWHU,£7.8m,19,1709,44,16,32,6,4.61,5,24,10,3.28,9,83.5,398,17,4,105
DEFO'ReillyMCI,£5.3m,15,1263,21,7,15,5,2.76,4,12,4,1.46,3,78.77,360,7,2,104
MIDWilsonFUL,£5.8m,18,1351,48,15,25,3,3.55,8,19,1,1.72,4,65.62,365,14,0,99
DEFMukieleSUN,£4.6m,17,1442,23,3,16,4,1.65,2,16,6,1.53,4,80.25,324,8,14,95
DEFSenesiBOU,£5.2m,18,1578,8,1,5,2,1.06,0,14,6,3.25,3,98.34,321,8,20,92
DEFJ.TimberARS,£6.0m,14,1117,15,6,14,4,2.72,3,11,2,0.42,4,82.94,307,7,0,89
MIDGravenberchLIV,£5.4m,18,1441,23,8,7,0,1.45,4,17,3,1.36,3,68.58,385,12,12,89
MIDAndersonNFO,£5.7m,19,1667,31,6,11,3,2.26,2,30,4,2.78,1,92.12,398,9,26,88
GKRayaARS,£6.2m,19,1710,0,0,0,0,0,0,2,0,0.07,0,83.99,340,4,0,87
DEFTruffertBOU,£4.8m,19,1710,5,2,2,0,0.18,0,17,1,1.57,3,82.95,346,10,12,87
MIDGibbs-WhiteNFO,£7.6m,18,1533,52,15,35,11,6.19,7,25,2,1.45,1,81.24,311,10,0,87
MIDE.Le FéeSUN,£4.8m,18,1502,20,8,11,4,3.56,4,27,6,3.12,2,84.84,341,11,10,87
DEFKeaneEVE,£4.5m,18,1327,17,5,13,5,1.69,3,2,0,0.2,1,77.98,237,5,16,84
MIDSakaARS,£10.0m,16,1124,38,12,24,4,3.65,4,31,7,4.2,6,77.82,315,9,4,84
MIDEnzoCHE,£6.5m,18,1591,43,16,22,4,5.26,5,39,5,4.28,3,90.16,390,10,0,83
MIDFodenMCI,£8.0m,19,1258,31,13,19,7,3.66,4,36,7,3.04,5,74.8,350,9,2,83
MIDO.DangoBRE,£5.6m,16,1232,33,15,24,13,5.56,5,18,6,3.13,5,77.89,252,12,2,83
FWDJoão PedroCHE,£7.4m,17,1268,38,12,32,12,7,8,11,0,0.71,2,72.07,325,15,0,83
DEFMatheus N.MCI,£5.3m,16,1358,3,1,1,1,0.21,1,13,4,1.05,5,58.49,341,9,2,83
MIDRogersAVL,£7.3m,19,1691,46,18,30,4,4.29,4,25,8,2.22,5,76.66,306,7,0,82
GKDonnarummaMCI,£5.6m,17,1530,0,0,0,0,0,0,0,0,0.01,0,59.39,329,5,0,82
