NAME,GP,S,OT,IN,BC,XG,G,XGC,XGC,XCS,GC,CS,GD,PTS
Man CityMCI,19,283,89,203,45,31.76,32,28.69,6.14,21,7,3.07,11,1133
LiverpoolLIV,19,262,77,167,54,30.67,29,25.34,6.42,33,5,5.33,-4,870
Man UtdMUN,19,256,86,157,52,31.4,30,27.54,5.29,26,4,3.86,4,890
BournemouthBOU,19,249,91,152,49,30.85,29,40.09,3.28,34,5,-9.24,-5,874
ArsenalARS,19,248,92,192,62,35.67,30,14.78,9.58,16,8,20.89,14,1096
BrightonBHA,19,233,82,161,46,29.43,22,27.18,5.58,26,5,2.25,-4,862
Aston VillaAVL,19,222,78,139,43,26.01,24,29.55,4.33,27,3,-3.54,-3,726
ChelseaCHE,19,221,86,161,55,32.58,32,24.3,6.36,27,4,8.28,5,868
NewcastleNEW,19,220,71,134,29,21.58,17,23.46,6.72,25,5,-1.88,-8,795
FulhamFUL,19,215,64,145,24,19.81,17,30.53,4.02,31,3,-10.72,-14,747
LeedsLEE,19,206,68,145,39,25.66,20,31.61,5.34,35,2,-5.95,-15,809
SpursTOT,19,195,73,135,32,22.58,26,26.34,5.23,26,6,-3.76,0,823
West HamWHU,19,194,69,145,29,20.7,19,32.44,4.23,35,4,-11.74,-16,716
Nott'm ForestNFO,19,191,80,124,30,23.06,28,31.58,4.46,28,5,-8.52,0,861
EvertonEVE,19,190,60,133,33,21.11,21,31,4.23,23,5,-9.89,-2,867
Crystal PalaceCRY,19,188,67,137,40,26.01,22,26.71,5.52,28,5,-0.7,-6,845
BrentfordBRE,19,177,69,134,47,27.72,22,29.52,4.82,31,5,-1.8,-9,776
WolvesWOL,19,177,55,114,22,16.75,8,29.8,4.6,34,1,-13.05,-26,509
SunderlandSUN,19,167,61,118,31,20.49,17,31.54,3.91,28,4,-11.05,-11,723
BurnleyBUR,19,149,55,86,22,16.99,20,40.24,2.6,46,0,-23.25,-26,658
