NAME,GP,S,OT,IN,BC,XG,G,XGC,XGC,XCS,GC,CS,GD,PTS
Man UtdMUN,19,340,130,235,56,39.57,39,20.43,7.15,24,4,19.14,15,990
LiverpoolLIV,19,327,98,217,47,32.06,34,22.11,7,20,5,9.95,14,972
Man CityMCI,19,311,116,226,74,45.49,45,22.41,7.44,14,9,23.08,31,1342
ArsenalARS,19,305,95,214,55,34.68,41,12.67,10.76,11,11,22.01,30,1137
ChelseaCHE,19,288,80,176,47,30.4,26,26.7,5.39,25,5,3.7,1,858
Nott'm ForestNFO,19,285,76,172,37,25.28,20,24.26,5.86,23,4,1.02,-3,785
BournemouthBOU,19,275,86,160,41,28.51,29,16.93,8.31,20,6,11.58,9,921
LeedsLEE,19,272,83,181,51,31.51,29,21.08,7.48,21,6,10.43,8,997
NewcastleNEW,19,272,105,181,61,38.2,36,27.9,5.2,30,3,10.3,6,902
FulhamFUL,19,269,76,181,38,25.83,30,22.11,6.91,20,6,3.72,10,900
BrightonBHA,19,262,94,168,41,29.69,30,21.69,6.68,20,5,8,10,945
Aston VillaAVL,19,261,92,166,44,29.21,32,24.41,6.32,22,6,4.8,10,882
Crystal PalaceCRY,19,254,75,186,57,31.95,19,24.09,6.03,23,7,7.86,-4,858
SpursTOT,19,241,73,166,38,24.58,22,25.15,6.69,31,3,-0.57,-9,678
EvertonEVE,19,232,82,157,38,26.9,26,24.92,5.72,27,6,1.98,-1,875
SunderlandSUN,19,229,69,163,34,23.38,25,22.65,6.88,20,7,0.73,5,891
BrentfordBRE,19,228,78,172,66,35.42,33,24.36,5.7,21,5,11.06,12,952
West HamWHU,19,210,73,151,43,26.1,27,26.97,5.47,30,3,-0.87,-3,724
BurnleyBUR,19,206,63,130,33,20.94,18,34.85,3.47,29,4,-13.91,-11,803
WolvesWOL,19,193,68,124,32,21.54,19,28.81,5.33,34,3,-7.27,-15,675
